HGNC ID	Approved Symbol
HGNC:10816	SCG5
HGNC:10817	SGPL1
HGNC:10818	SGSH
HGNC:10819	SGTA
HGNC:1082	BNIP1
HGNC:10820	SH2D1A
HGNC:10821	SH2D2A
HGNC:10822	SH3BGR
HGNC:10823	SH3BGRL
HGNC:10824	SH3BP1
HGNC:10825	SH3BP2
HGNC:10826	SH3BP4
HGNC:10827	SH3BP5
HGNC:1083	BNIP2
HGNC:10830	SH3GL1
HGNC:10831	SH3GL2
HGNC:10832	SH3GL3
HGNC:10833	SH3GLB1
HGNC:10834	SH3GLB2
HGNC:10835	SH3GL1P1
HGNC:10836	SH3GL1P2
HGNC:10837	SH3GL1P3
HGNC:10838	SHB
HGNC:10839	SHBG
HGNC:1084	BNIP3
HGNC:10840	SHC1
HGNC:10841	SHC1P1
HGNC:10842	SHC1P2
HGNC:10845	SHFM1
HGNC:10846	SHFM2
HGNC:10847	FBXW4
HGNC:10848	SHH
HGNC:1085	BNIP3L
HGNC:10850	SHMT1
HGNC:10851	SHMT1P1
HGNC:10852	SHMT2
HGNC:10853	SHOX
HGNC:10854	SHOX2
HGNC:10856	SI
HGNC:10857	SIAH1
HGNC:10858	SIAH2
HGNC:10860	ST6GAL1
HGNC:10861	ST6GAL2
HGNC:10862	ST3GAL1
HGNC:10863	ST3GAL2
HGNC:10864	ST3GAL4
HGNC:10866	ST3GAL3
HGNC:10867	ST6GALNAC2
HGNC:10869	ST8SIA1
HGNC:1087	BOK
HGNC:10870	ST8SIA2
HGNC:10871	ST8SIA4
HGNC:10872	ST3GAL5
HGNC:10874	SIGLEC5
HGNC:10875	SIGLEC6
HGNC:10876	SIGLEC7
HGNC:10877	SIGLEC8
HGNC:10878	SIGLEC9
HGNC:10879	STIL
HGNC:10880	PMEL
HGNC:10882	SIM1
HGNC:10883	SIM2
HGNC:10884	GEMIN2
HGNC:10885	SIPA1
HGNC:10886	SIRT2
HGNC:10887	SIX1
HGNC:10888	SIX2
HGNC:10889	SIX3
HGNC:10890	SIX4
HGNC:10891	SIX5
HGNC:10892	SIX6
HGNC:10894	PRMT5
HGNC:10895	VPS4B
HGNC:10896	SKI
HGNC:10897	SKIL
HGNC:10898	SKIV2L
HGNC:10899	SKP1
HGNC:1090	DST
HGNC:10900	SKP1P2
HGNC:10901	SKP2
HGNC:10902	SLA
HGNC:10903	SLAMF1
HGNC:10904	SLBP
HGNC:10905	SLC10A1
HGNC:10906	SLC10A2
HGNC:10907	SLC11A1
HGNC:10908	SLC11A2
HGNC:10909	SLC40A1
HGNC:10910	SLC12A1
HGNC:10911	SLC12A2
HGNC:10912	SLC12A3
HGNC:10913	SLC12A4
HGNC:10914	SLC12A6
HGNC:10915	SLC12A7
HGNC:10916	SLC13A1
HGNC:10917	SLC13A2
HGNC:10918	SLC14A1
HGNC:10919	SLC14A2
HGNC:1092	FOXL2
HGNC:10920	SLC15A1
HGNC:10921	SLC15A2
HGNC:10922	SLC16A1
HGNC:10923	SLC16A2
HGNC:10924	SLC16A3
HGNC:10925	SLC16A4
HGNC:10926	SLC16A5
HGNC:10927	SLC16A6
HGNC:10928	SLC16A7
HGNC:10929	SLC17A1
HGNC:1093	BPGM
HGNC:10930	SLC17A2
HGNC:10931	SLC17A3
HGNC:10932	SLC17A4
HGNC:10933	SLC17A5
HGNC:10934	SLC18A1
HGNC:10935	SLC18A2
HGNC:10936	SLC18A3
HGNC:10937	SLC19A1
HGNC:10938	SLC19A2
HGNC:10939	SLC1A1
HGNC:1094	BPHL
HGNC:10940	SLC1A2
HGNC:10941	SLC1A3
HGNC:10942	SLC1A4
HGNC:10943	SLC1A5
HGNC:10944	SLC1A6
HGNC:10945	SLC1A7
HGNC:10946	SLC20A1
HGNC:10947	SLC20A2
HGNC:1095	BPI
HGNC:10952	SLCO3A1
HGNC:10953	SLCO4A1
HGNC:10955	SLCO2A1
HGNC:10956	SLCO1A2
HGNC:10959	SLCO1B1
HGNC:1096	BPNT1
HGNC:10961	SLCO1B3
HGNC:10962	SLCO2B1
HGNC:10963	SLC22A1
HGNC:10964	SLC22A18
HGNC:10965	SLC22A18AS
HGNC:10966	SLC22A2
HGNC:10967	SLC22A3
HGNC:10968	SLC22A4
HGNC:10969	SLC22A5
HGNC:1097	BRAF
HGNC:10970	SLC22A6
HGNC:10971	SLC22A7
HGNC:10972	SLC22A8
HGNC:10973	SLC23A2
HGNC:10974	SLC23A1
HGNC:10975	SLC24A1
HGNC:10976	SLC24A2
