HGNC ID	Approved Symbol
29135	ANKRD12
21268	ANKRD13A
26363	ANKRD13B
25374	ANKRD13C
27880	ANKRD13D
23471	ANKRD16
23575	ANKRD17
23643	ANKRD18A
23644	ANKRD18B
43601	ANKRD18CP
28016	ANKRD18DP
43609	ANKRD18EP
22567	ANKRD19P
23665	ANKRD20A1
31979	ANKRD20A2
31981	ANKRD20A3
31982	ANKRD20A4
33833	ANKRD20A5P
37714	ANKRD20A6P
31980	ANKRD20A7P
23666	ANKRD20A8P
42023	ANKRD20A9P
39707	ANKRD20A10P
42024	ANKRD20A11P
43603	ANKRD20A12P
43604	ANKRD20A13P
43605	ANKRD20A14P
43606	ANKRD20A15P
43607	ANKRD20A16P
43608	ANKRD20A17P
23756	ANKRD20A18P
42737	ANKRD20A19P
32319	ANKRD20A20P
52329	ANKRD20A21P
28321	ANKRD22
24470	ANKRD23
29424	ANKRD24
29186	ANKRD26
32955	ANKRD26P1
39687	ANKRD26P2
39689	ANKRD26P3
39690	ANKRD26P4
25310	ANKRD27
29024	ANKRD28
27110	ANKRD29
17234	ANKRD30A
24165	ANKRD30B
35167	ANKRD30BL
19722	ANKRD30BP1
16620	ANKRD30BP2
27873	ANKRD30BP3
26853	ANKRD31
13788	ANKRD33
35240	ANKRD33B
41298	ANKRD33B-AS1
27639	ANKRD34A
33736	ANKRD34B
33888	ANKRD34C
48618	ANKRD34C-AS1
26323	ANKRD35
24079	ANKRD36
29333	ANKRD36B
28169	ANKRD36BP1
33607	ANKRD36BP2
32946	ANKRD36C
37759	ANKRD36P1
29593	ANKRD37
28640	ANKRD39
28233	ANKRD40
26752	ANKRD42
25259	ANKRD44
41477	ANKRD44-IT1
24786	ANKRD45
27229	ANKRD46
25970	ANKRD49
29223	ANKRD50
26614	ANKRD52
25691	ANKRD53
25185	ANKRD54
39214	ANKRD54P1
25681	ANKRD55
37984	ANKRD57P1
16217	ANKRD60
22467	ANKRD61
35241	ANKRD62
42363	ANKRD62P1
42393	ANKRD62P1-PARP4P3
40027	ANKRD63
42950	ANKRD65
44669	ANKRD66
20961	ANKS1A
24600	ANKS1B
29422	ANKS3
26795	ANKS4B
26724	ANKS6
29642	ANKUB1
25527	ANKZF1
14082	ANLN
21625	ANO1
40016	ANO1-AS1
33275	ANO1-AS2
1183	ANO2
14004	ANO3
23837	ANO4
27337	ANO5
25240	ANO6
31677	ANO7
32248	ANO7L1
29329	ANO8
20679	ANO9
25519	ANO10
498	ANOP1
6211	ANOS1
6214	ANOS2P
13233	ANP32A
25672	ANP32A-IT1
42949	ANP32AP1
16677	ANP32B
24267	ANP32BP1
38552	ANP32BP2
44089	ANP32BP3
16675	ANP32C
16676	ANP32D
16673	ANP32E
500	ANPEP
21014	ANTXR1
21732	ANTXR2
27277	ANTXRL
45004	ANTXRLP1
533	ANXA1
537	ANXA2
538	ANXA2P1
539	ANXA2P2
540	ANXA2P3
33463	ANXA2R
541	ANXA3
542	ANXA4
543	ANXA5
544	ANXA6
545	ANXA7
546	ANXA8
23334	ANXA8L1
547	ANXA9
534	ANXA10
535	ANXA11
536	ANXA13
548	AOAH
41307	AOAH-IT1
80	AOC1
549	AOC2
550	AOC3
48869	AOC4P
553	AOX1
18450	AOX2P
19049	AOX3P
28808	AP1AR
554	AP1B1
297	AP1B1P1
298	AP1B1P2
555	AP1G1
556	AP1G2
13667	AP1M1
558	AP1M2
559	AP1S1
560	AP1S2
50752	AP1S2P1
18971	AP1S3
561	AP2A1
562	AP2A2
563	AP2B1
564	AP2M1
565	AP2S1
566	AP3B1
567	AP3B2
568	AP3D1
569	AP3M1
570	AP3M2
2013	AP3S1
571	AP3S2
572	AP4B1
44114	AP4B1-AS1
573	AP4E1
574	AP4M1
575	AP4S1
25104	AP5B1
20192	AP5M1
15875	AP5S1
22197	AP5Z1
576	APAF1
578	APBA1
579	APBA2
580	APBA3
581	APBB1
17379	APBB1IP
582	APBB2
20708	APBB3
583	APC
24036	APC2
15718	APCDD1
26892	APCDD1L
27152	APCDD1L-AS1
584	APCS
586	APEH
48925	APELA
587	APEX1
17889	APEX2
29509	APH1A
24080	APH1B
594	API5
595	API5P1
39070	API5P2
17581	APIP
23163	APITD1
38843	APITD1-CORT
28724	APLF
16665	APLN
339	APLNR
597	APLP1
598	APLP2
13238	APMAP
600	APOA1
40079	APOA1-AS
601	APOA2
602	APOA4
17288	APOA5
603	APOB
604	APOBEC1
605	APOBEC2
17343	APOBEC3A
43835	APOBEC3AP1
44196	APOBEC3A_B
17352	APOBEC3B
43836	APOBEC3B-AS1
17353	APOBEC3C
17354	APOBEC3D
17356	APOBEC3F
17357	APOBEC3G
24100	APOBEC3H
32152	APOBEC4
24087	APOBR
607	APOC1
608	APOC1P1
609	APOC2
610	APOC3
611	APOC4
44426	APOC4-APOC2
612	APOD
613	APOE
615	APOF
616	APOH
618	APOL1
619	APOL2
14868	APOL3
14867	APOL4
14869	APOL5
14870	APOL6
25268	APOLD1
13916	APOM
28727	APOO
24009	APOOL
48739	APOOP1
48740	APOOP2
48741	APOOP3
48742	APOOP4
48743	APOOP5
20492	APOPT1
620	APP
622	APPBP2
24035	APPL1
18242	APPL2
626	APRT
44173	APTR
15984	APTX
633	AQP1
634	AQP2
636	AQP3
637	AQP4
26399	AQP4-AS1
638	AQP5
639	AQP6
640	AQP7
32048	AQP7P1
32049	AQP7P2
31976	AQP7P3
32056	AQP7P4
51836	AQP7P5
642	AQP8
643	AQP9
16029	AQP10
19940	AQP11
19941	AQP12A
6096	AQP12B
29513	AQR
644	AR
646	ARAF
50824	ARAFP1
647	ARAFP2
35474	ARAFP3
16925	ARAP1
39993	ARAP1-AS1
39994	ARAP1-AS2
16924	ARAP2
24097	ARAP3
648	ARC
649	ARCN1
651	AREG
20363	AREL1
652	ARF1
22500	ARF1P1
39883	ARF1P2
39884	ARF1P3
654	ARF3
655	ARF4
51593	ARF4-AS1
657	ARF4P1
16599	ARF4P2
32380	ARF4P3
37628	ARF4P4
37629	ARF4P5
658	ARF5
659	ARF6
15852	ARFGAP1
13504	ARFGAP2
661	ARFGAP3
15772	ARFGEF1
15853	ARFGEF2
21213	ARFGEF3
21496	ARFIP1
17160	ARFIP2
662	ARFRP1
663	ARG1
664	ARG2
30146	ARGFX
17252	ARGFXP1
23977	ARGFXP2
25482	ARGLU1
673	ARHGAP1
674	ARHGAP4
675	ARHGAP5
20279	ARHGAP5-AS1
676	ARHGAP6
677	ARHGAP8
14130	ARHGAP9
26099	ARHGAP10
15783	ARHGAP11A
15782	ARHGAP11B
16348	ARHGAP12
21030	ARHGAP15
19921	ARHGAP16P
18239	ARHGAP17
21035	ARHGAP18
23724	ARHGAP19
48348	ARHGAP19-SLIT1
18357	ARHGAP20
23725	ARHGAP21
30320	ARHGAP22
42944	ARHGAP22-IT1
29293	ARHGAP23
45039	ARHGAP23P1
25361	ARHGAP24
28951	ARHGAP25
17073	ARHGAP26
40792	ARHGAP26-AS1
41429	ARHGAP26-IT1
31813	ARHGAP27
25509	ARHGAP28
30207	ARHGAP29
27414	ARHGAP30
29216	ARHGAP31
41235	ARHGAP31-AS1
17399	ARHGAP32
23085	ARHGAP33
4591	ARHGAP35
26388	ARHGAP36
29351	ARHGAP39
16226	ARHGAP40
26545	ARHGAP42
43940	ARHGAP42P1
43939	ARHGAP42P2
19327	ARHGAP42P3
43941	ARHGAP42P4
43942	ARHGAP42P5
29096	ARHGAP44
17102	ARHGAP45
678	ARHGDIA
679	ARHGDIB
680	ARHGDIG
681	ARHGEF1
682	ARHGEF2
683	ARHGEF3
40083	ARHGEF3-AS1
684	ARHGEF4
13209	ARHGEF5
685	ARHGEF6
15607	ARHGEF7
39816	ARHGEF7-AS1
40717	ARHGEF7-AS2
41408	ARHGEF7-IT1
14561	ARHGEF9
41401	ARHGEF9-IT1
14103	ARHGEF10
25540	ARHGEF10L
14580	ARHGEF11
14193	ARHGEF12
15590	ARHGEF15
15515	ARHGEF16
21726	ARHGEF17
17090	ARHGEF18
26604	ARHGEF19
39996	ARHGEF19-AS1
30275	ARHGEF25
24490	ARHGEF26
41048	ARHGEF26-AS1
30322	ARHGEF28
37252	ARHGEF33
38086	ARHGEF34P
33846	ARHGEF35
34430	ARHGEF37
25968	ARHGEF38
41483	ARHGEF38-IT1
25909	ARHGEF39
25516	ARHGEF40
11110	ARID1A
18040	ARID1B
18037	ARID2
3031	ARID3A
14350	ARID3B
21209	ARID3C
9885	ARID4A
15550	ARID4B
41407	ARID4B-IT1
17361	ARID5A
17362	ARID5B
689	ARIH1
690	ARIH2
34425	ARIH2OS
31732	ARIH2P1
692	ARL1
693	ARL2
49197	ARL2-SNX15
17146	ARL2BP
17742	ARL2BPP1
31036	ARL2BPP2
39447	ARL2BPP3
39448	ARL2BPP4
39449	ARL2BPP5
39450	ARL2BPP6
39451	ARL2BPP7
39452	ARL2BPP8
39453	ARL2BPP9
39454	ARL2BPP10
694	ARL3
695	ARL4A
17741	ARL4AP1
32379	ARL4AP2
52372	ARL4AP3
52373	ARL4AP4
52374	ARL4AP5
698	ARL4C
656	ARL4D
696	ARL5A
43933	ARL5AP1
43937	ARL5AP2
43935	ARL5AP3
43936	ARL5AP4
23052	ARL5B
31111	ARL5C
13210	ARL6
697	ARL6IP1
23178	ARL6IP1P1
44971	ARL6IP1P2
44972	ARL6IP1P3
18076	ARL6IP4
16937	ARL6IP5
24048	ARL6IP6
25192	ARL8A
25564	ARL8B
23592	ARL9
22042	ARL10
24046	ARL11
31709	ARL13A
25419	ARL13B
22974	ARL14
