HGNC ID	Approved symbol	Previous symbols	NCBI Gene ID
HGNC:239	ADCY8	ADCY3	114
HGNC:240	ADCY9		115
HGNC:21285	ADCY10		55811
HGNC:44143	ADCY10P1		221442
HGNC:241	ADCYAP1		116
HGNC:242	ADCYAP1R1		117
HGNC:243	ADD1		118
HGNC:244	ADD2		119
HGNC:245	ADD3	ADDL	120
HGNC:48682	ADD3-AS1		100505933
HGNC:21212	ADGB	C6orf103	79747
HGNC:55654	ADGB-DT		101928661
HGNC:13838	ADGRA1	GPR123	84435
HGNC:49543	ADGRA1-AS1	GPR123-AS1	
HGNC:17849	ADGRA2	GPR124	25960
HGNC:13839	ADGRA3	GPR125	166647
HGNC:55918	ADGRA3P1		100996333
HGNC:943	ADGRB1	BAI1	575
HGNC:944	ADGRB2	BAI2	576
HGNC:945	ADGRB3	BAI3	577
HGNC:55774	ADGRB3-DT		101928307
HGNC:19893	ADGRD1	GPR133	283383
HGNC:53314	ADGRD1-AS1		105755954
HGNC:18651	ADGRD2	GPR144	347088
HGNC:3336	ADGRE1	TM7LN3, EMR1	2015
HGNC:3337	ADGRE2	EMR2	30817
HGNC:23647	ADGRE3	EMR3	84658
HGNC:19240	ADGRE4P	GPR127, EMR4, EMR4P	326342
HGNC:1711	ADGRE5	CD97	976
HGNC:18990	ADGRF1	GPR110	266977
HGNC:18991	ADGRF2P	GPR111, ADGRF2	222611
HGNC:18989	ADGRF3	GPR113	165082
HGNC:19011	ADGRF4	GPR115	221393
HGNC:19030	ADGRF5	GPR116	221395
HGNC:40864	ADGRF5-AS1		101926962
HGNC:32922	ADGRF5P1	GPR116P1	389740
HGNC:32921	ADGRF5P2	GPR116P2	441416
HGNC:4512	ADGRG1	GPR56	9289
HGNC:4516	ADGRG2	GPR64	10149
HGNC:13728	ADGRG3	GPR97	222487
HGNC:18992	ADGRG4	GPR112	139378
HGNC:19010	ADGRG5	GPR114	221188
HGNC:13841	ADGRG6	GPR126	57211
HGNC:19241	ADGRG7	GPR128	84873
HGNC:20973	ADGRL1	LPHN1	22859
HGNC:55309	ADGRL1-AS1		100507373
HGNC:18582	ADGRL2	LPHH1, LPHN2	23266
HGNC:20974	ADGRL3	LPHN3	23284
HGNC:50604	ADGRL3-AS1	LPHN3-AS1	101927186
HGNC:20822	ADGRL4	ELTD1	64123
HGNC:17416	ADGRV1	USH2C, MASS1, GPR98	84059
HGNC:249	ADH1A	ADH1	124
HGNC:250	ADH1B	ADH2	125
HGNC:251	ADH1C	ADH3	126
HGNC:252	ADH4		127
HGNC:253	ADH5	FDH	128
HGNC:22976	ADH5P2		343296
HGNC:22991	ADH5P3		100131810
HGNC:21377	ADH5P4	ADH5B	642443
